Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
15,Australia,Amazon Music,Rock,344,179,Adele,Free,Night,54.59,31.88
14,Germany,Spotify,EDM,167,276,Post Malone,Free,Afternoon,83.01,26.61
56,USA,Tidal,R&B,39,487,Taylor Swift,Free,Morning,73.09,18.35
51,Canada,Spotify,Metal,487,16,Post Malone,Free,Afternoon,80.01,66.24
18,South Korea,Spotify,Rock,425,492,Taylor Swift,Free,Morning,73.91,14.59
58,Australia,YouTube,Classical,317,354,The Weeknd,Premium,Afternoon,50.17,79.82
36,India,Amazon Music,EDM,29,367,Ed Sheeran,Premium,Afternoon,66.26,10.38
59,Brazil,Spotify,Reggae,554,87,Post Malone,Free,Night,37.14,56.89
26,USA,Tidal,Reggae,263,410,The Weeknd,Free,Night,16.9,57.48
18,UK,Amazon Music,Metal,416,74,The Weeknd,Free,Afternoon,31.7,34.05
40,France,Spotify,Classical,255,12,Drake,Free,Morning,65.38,62.43
36,UK,Tidal,Reggae,33,198,Adele,Premium,Morning,25.51,29.87
45,USA,Tidal,Hip-Hop,568,174,Ed Sheeran,Free,Night,63.91,58.85
57,Canada,YouTube,Hip-Hop,138,382,Adele,Premium,Afternoon,83.88,60.14
44,France,Deezer,Metal,501,214,Taylor Swift,Free,Morning,39.6,37.53
16,Japan,YouTube,R&B,346,99,Dua Lipa,Free,Morning,47.05,37.27
14,Japan,Spotify,Hip-Hop,534,141,Taylor Swift,Free,Night,21.04,58.3
54,Germany,Deezer,Country,216,485,Dua Lipa,Premium,Night,64.89,24.88
18,USA,Apple Music,Reggae,239,141,Ed Sheeran,Free,Afternoon,87.88,28.46
45,France,Amazon Music,Metal,170,33,Post Malone,Premium,Morning,73.46,65.3
36,UK,Apple Music,Hip-Hop,365,55,BTS,Premium,Afternoon,30.26,67.49
36,USA,Amazon Music,Hip-Hop,114,200,Drake,Premium,Night,18.9,60.48
22,South Korea,Amazon Music,Pop,400,63,Drake,Free,Night,11.93,9.22
27,India,Deezer,Hip-Hop,55,138,Post Malone,Free,Afternoon,10.87,20.44
24,UK,Tidal,EDM,285,416,Billie Eilish,Premium,Afternoon,68.84,68.11
20,Australia,Deezer,R&B,504,385,Taylor Swift,Premium,Afternoon,73.76,52.77
59,Brazil,Tidal,Hip-Hop,164,150,The Weeknd,Free,Afternoon,44.28,50.56
15,France,Amazon Music,Pop,271,408,Dua Lipa,Free,Afternoon,54.09,21.0
35,Japan,Spotify,Jazz,27,459,Drake,Premium,Afternoon,56.35,57.79
26,India,Deezer,Classical,429,3,Drake,Free,Morning,57.3,64.51
52,Brazil,YouTube,Rock,248,246,Taylor Swift,Free,Afternoon,50.43,7.49
32,Canada,Apple Music,Pop,331,86,BTS,Free,Afternoon,71.48,36.86
51,UK,YouTube,Metal,398,414,Drake,Free,Night,10.3,11.62
34,France,YouTube,EDM,285,387,Ed Sheeran,Premium,Night,42.29,42.79
16,Brazil,YouTube,EDM,412,361,BTS,Free,Afternoon,30.8,69.19
13,France,Deezer,Jazz,13,29,Ed Sheeran,Free,Afternoon,10.9,78.26
49,Germany,YouTube,EDM,485,52,Bad Bunny,Premium,Afternoon,13.52,22.28
16,Germany,Amazon Music,Rock,44,472,Adele,Free,Afternoon,57.14,14.08
55,Japan,Tidal,Jazz,448,497,Drake,Premium,Morning,59.9,36.58
59,UK,Amazon Music,EDM,376,403,Drake,Free,Afternoon,69.98,60.74
14,South Korea,Apple Music,R&B,13,479,Ed Sheeran,Premium,Night,74.23,77.24
15,Brazil,Spotify,Country,522,398,Ed Sheeran,Free,Morning,54.43,78.56
33,Canada,Deezer,EDM,30,77,Post Malone,Free,Morning,24.97,74.59
45,France,Deezer,Hip-Hop,563,56,The Weeknd,Free,Night,41.18,61.0
13,Japan,YouTube,Country,425,109,Dua Lipa,Free,Night,37.49,13.62
24,Brazil,Deezer,Pop,77,131,Post Malone,Premium,Night,61.75,7.84
45,South Korea,YouTube,R&B,541,289,Adele,Premium,Night,31.53,24.59
46,Canada,Spotify,Classical,591,168,Taylor Swift,Free,Morning,71.01,37.88
29,France,Deezer,Rock,458,65,The Weeknd,Premium,Night,21.0,12.8
14,USA,Tidal,EDM,595,428,Ed Sheeran,Free,Afternoon,14.4,65.4
33,Japan,Tidal,R&B,516,397,Post Malone,Premium,Morning,71.83,49.48
58,Japan,YouTube,EDM,433,492,Drake,Premium,Morning,21.43,24.43
35,Japan,Spotify,Jazz,473,370,Bad Bunny,Free,Afternoon,42.22,23.56
38,Australia,Deezer,Reggae,412,184,Post Malone,Premium,Afternoon,68.44,25.99
33,Japan,Tidal,EDM,312,272,Taylor Swift,Free,Night,66.37,79.58
34,USA,YouTube,Country,239,432,Billie Eilish,Premium,Night,81.83,49.24
33,France,Deezer,R&B,41,347,Adele,Free,Night,84.36,67.5
40,France,Spotify,Metal,373,162,Taylor Swift,Free,Morning,12.75,8.9
60,Japan,Apple Music,EDM,596,2,Post Malone,Free,Night,61.25,29.63
21,India,Spotify,Rock,144,415,Billie Eilish,Free,Night,18.34,50.23
49,India,Deezer,Classical,295,184,Dua Lipa,Premium,Morning,16.74,21.27
26,Brazil,Apple Music,EDM,61,72,Post Malone,Premium,Afternoon,54.17,59.35
21,Japan,Spotify,Reggae,240,32,The Weeknd,Free,Afternoon,24.89,57.76
42,France,Tidal,Metal,82,189,Dua Lipa,Premium,Afternoon,47.09,31.17
26,Brazil,Tidal,Country,166,21,Post Malone,Premium,Night,39.78,78.73
28,Australia,YouTube,Metal,305,208,Dua Lipa,Free,Night,44.09,71.29
55,Canada,Apple Music,Country,180,213,Ed Sheeran,Free,Morning,35.07,63.79
16,Japan,YouTube,Pop,264,436,Dua Lipa,Premium,Afternoon,56.93,11.79
48,South Korea,Spotify,Classical,195,188,Drake,Premium,Morning,70.37,49.32
46,USA,Deezer,Jazz,456,25,BTS,Premium,Afternoon,88.59,37.24
30,Brazil,Amazon Music,Pop,148,327,Bad Bunny,Free,Afternoon,79.94,58.77
56,Germany,Tidal,R&B,161,468,Post Malone,Premium,Morning,13.36,16.64
18,Japan,Spotify,Classical,320,434,Adele,Free,Morning,19.21,29.64
35,USA,Tidal,EDM,157,3,Taylor Swift,Free,Morning,20.91,29.16
36,Canada,Tidal,Hip-Hop,487,492,Post Malone,Premium,Afternoon,18.74,66.08
57,Brazil,Tidal,Metal,81,297,Drake,Free,Morning,32.44,18.59
59,Australia,Deezer,Jazz,20,227,Ed Sheeran,Premium,Afternoon,21.19,77.77
56,South Korea,Spotify,Country,216,106,Adele,Premium,Morning,52.52,14.93
15,France,YouTube,Classical,563,79,Taylor Swift,Premium,Morning,60.57,49.8
38,France,Spotify,Jazz,600,309,The Weeknd,Premium,Afternoon,36.83,37.31
15,Brazil,Deezer,R&B,480,500,Adele,Premium,Morning,76.84,43.1
50,USA,Deezer,Hip-Hop,293,386,The Weeknd,Premium,Night,88.22,79.71
51,Germany,Tidal,Jazz,282,143,Ed Sheeran,Premium,Night,33.82,38.87
54,USA,Deezer,Jazz,278,279,Billie Eilish,Free,Morning,27.43,54.76
48,France,Spotify,Metal,74,84,Dua Lipa,Free,Afternoon,86.84,15.84
20,Australia,Amazon Music,Rock,395,223,BTS,Free,Night,31.0,11.77
14,Japan,YouTube,Country,342,256,Dua Lipa,Premium,Afternoon,14.82,29.45
59,Brazil,Tidal,Rock,400,5,Bad Bunny,Premium,Morning,35.33,30.07
42,Canada,Amazon Music,R&B,288,320,Dua Lipa,Free,Afternoon,51.92,48.85
13,Canada,Spotify,Jazz,171,40,BTS,Premium,Night,88.9,49.51
57,Germany,Tidal,Rock,506,432,Drake,Free,Afternoon,41.11,37.83
37,UK,Tidal,Jazz,236,239,Drake,Free,Afternoon,76.11,32.44
52,Germany,Apple Music,Hip-Hop,499,146,Taylor Swift,Premium,Afternoon,37.88,30.45
48,USA,Tidal,Jazz,20,29,Taylor Swift,Free,Afternoon,73.51,27.35
31,Germany,Spotify,Hip-Hop,352,320,Dua Lipa,Free,Night,85.53,67.75
32,UK,Deezer,Classical,552,388,Dua Lipa,Free,Afternoon,82.9,35.1
14,Japan,Apple Music,Jazz,11,391,Drake,Free,Afternoon,41.67,47.97
24,Japan,Tidal,Metal,136,378,BTS,Premium,Morning,75.25,75.56
56,USA,Tidal,Rock,51,266,Drake,Premium,Night,66.19,9.43
34,Australia,Apple Music,Hip-Hop,358,28,Dua Lipa,Premium,Night,38.85,46.59
60,USA,Spotify,R&B,100,413,Taylor Swift,Premium,Afternoon,65.65,36.37
48,UK,YouTube,Classical,179,46,Dua Lipa,Premium,Afternoon,37.1,73.26
35,South Korea,Deezer,Metal,254,173,BTS,Premium,Afternoon,41.08,10.98
56,UK,Amazon Music,Reggae,405,309,Dua Lipa,Premium,Afternoon,74.18,15.33
34,South Korea,Apple Music,Hip-Hop,420,206,The Weeknd,Free,Morning,41.62,13.31
60,USA,Apple Music,Rock,262,301,BTS,Free,Morning,35.53,55.35
32,France,Apple Music,EDM,74,75,Bad Bunny,Premium,Night,14.87,23.27
34,Japan,Amazon Music,Rock,216,4,The Weeknd,Premium,Morning,55.35,55.82
38,Canada,Spotify,EDM,318,421,Dua Lipa,Premium,Afternoon,33.33,37.92
17,USA,Apple Music,Reggae,80,403,Taylor Swift,Premium,Night,60.83,36.36
46,UK,Spotify,EDM,535,459,Adele,Premium,Night,11.58,78.01
41,Australia,YouTube,Hip-Hop,549,459,The Weeknd,Premium,Night,45.62,69.61
17,France,Tidal,Reggae,357,192,Billie Eilish,Premium,Afternoon,70.65,67.71
38,UK,Apple Music,Reggae,302,247,The Weeknd,Free,Night,45.87,13.1
29,USA,Deezer,Rock,108,248,Dua Lipa,Free,Morning,56.01,65.09
26,India,Spotify,Reggae,213,148,Adele,Premium,Afternoon,85.33,25.62
33,USA,Amazon Music,EDM,273,429,Adele,Free,Night,88.94,15.78
33,UK,Amazon Music,Classical,543,425,Adele,Premium,Afternoon,22.3,67.15
42,Brazil,Tidal,Rock,319,304,Bad Bunny,Free,Night,43.5,52.72
43,Germany,Spotify,Classical,240,201,Bad Bunny,Free,Night,29.33,55.88
23,India,Apple Music,Hip-Hop,502,215,Dua Lipa,Premium,Morning,68.46,48.6
55,South Korea,Tidal,Metal,459,395,Post Malone,Free,Afternoon,87.85,23.4
40,USA,Apple Music,Rock,400,223,BTS,Premium,Afternoon,65.99,29.93
43,Brazil,YouTube,R&B,99,106,Bad Bunny,Premium,Morning,77.11,64.52
21,South Korea,Spotify,Country,76,426,Post Malone,Premium,Morning,33.91,31.52
42,Brazil,Amazon Music,Classical,119,64,Bad Bunny,Premium,Morning,51.61,57.68
59,India,YouTube,R&B,510,305,BTS,Free,Night,48.62,52.01
30,France,Deezer,R&B,100,457,Ed Sheeran,Free,Morning,40.86,68.91
39,Australia,YouTube,Reggae,152,39,Post Malone,Premium,Afternoon,75.68,74.84
47,Canada,Apple Music,Rock,269,491,BTS,Premium,Night,50.47,50.5
33,Brazil,YouTube,R&B,384,69,Billie Eilish,Free,Afternoon,37.85,6.49
57,Brazil,Amazon Music,Reggae,459,445,Taylor Swift,Free,Morning,89.67,49.44
42,France,Spotify,Hip-Hop,591,116,Taylor Swift,Free,Morning,12.48,59.79
25,Canada,Apple Music,Jazz,13,377,Drake,Premium,Afternoon,79.4,10.83
14,Brazil,Apple Music,Rock,282,81,Dua Lipa,Free,Night,49.74,46.46
30,Brazil,Apple Music,EDM,182,352,The Weeknd,Premium,Morning,44.71,79.17
34,France,Amazon Music,R&B,433,410,The Weeknd,Premium,Afternoon,57.15,14.1
22,Canada,Deezer,EDM,558,389,Drake,Premium,Morning,51.79,46.4
42,Australia,Deezer,Pop,372,267,Drake,Free,Night,31.06,59.18
32,India,YouTube,Rock,129,455,Ed Sheeran,Free,Afternoon,59.96,53.36
43,USA,Spotify,Jazz,574,237,Post Malone,Premium,Afternoon,33.53,21.55
54,Australia,Deezer,Country,440,448,Ed Sheeran,Premium,Afternoon,55.32,9.42
21,Brazil,Amazon Music,Reggae,529,486,BTS,Free,Night,43.19,66.15
58,UK,YouTube,Metal,218,145,Dua Lipa,Free,Night,82.93,55.21
56,UK,YouTube,Classical,460,267,Drake,Premium,Afternoon,67.84,57.9
33,Japan,YouTube,Metal,388,209,Bad Bunny,Free,Morning,60.31,18.76
50,UK,Spotify,Jazz,96,369,Post Malone,Free,Night,54.97,39.33
37,France,Amazon Music,Classical,341,419,Taylor Swift,Premium,Night,17.63,27.17
27,USA,Deezer,Metal,177,49,Ed Sheeran,Premium,Night,45.77,37.45
36,Germany,Amazon Music,R&B,51,448,Post Malone,Free,Afternoon,28.43,79.57
30,USA,YouTube,Rock,359,191,Bad Bunny,Premium,Afternoon,58.3,16.08
16,India,Apple Music,EDM,252,311,Billie Eilish,Premium,Afternoon,54.29,75.25
38,Australia,YouTube,Jazz,239,196,Bad Bunny,Premium,Night,45.43,46.24
33,Canada,Spotify,Hip-Hop,75,167,Bad Bunny,Free,Night,89.45,11.83
35,UK,YouTube,Hip-Hop,50,143,Ed Sheeran,Premium,Morning,23.56,25.88
20,UK,Amazon Music,R&B,362,60,Dua Lipa,Free,Morning,16.02,30.93
56,France,Amazon Music,Metal,122,365,Post Malone,Premium,Afternoon,16.62,40.75
44,Australia,Spotify,Jazz,336,260,Taylor Swift,Premium,Afternoon,11.93,51.8
23,USA,YouTube,EDM,541,12,Ed Sheeran,Free,Morning,53.13,34.26
43,South Korea,Deezer,Pop,321,389,Dua Lipa,Free,Afternoon,69.06,14.78
50,India,Deezer,Classical,390,128,Adele,Premium,Afternoon,86.0,51.59
48,Japan,Amazon Music,Classical,594,258,BTS,Premium,Afternoon,64.76,52.51
43,France,Amazon Music,Hip-Hop,164,232,Dua Lipa,Premium,Morning,51.98,34.65
22,Japan,Amazon Music,Reggae,81,42,Post Malone,Free,Morning,89.06,43.03
26,France,Spotify,Hip-Hop,269,455,Bad Bunny,Free,Morning,10.28,22.04
25,France,YouTube,Jazz,255,424,Dua Lipa,Free,Night,65.34,52.44
19,Germany,YouTube,Reggae,380,276,Post Malone,Premium,Night,26.0,48.02
16,USA,Amazon Music,EDM,565,61,Bad Bunny,Premium,Night,41.7,8.97
17,UK,Deezer,Classical,451,11,Drake,Premium,Night,54.74,40.91
34,France,YouTube,Jazz,179,255,BTS,Premium,Afternoon,70.68,33.01
32,Canada,Amazon Music,Country,37,341,Dua Lipa,Premium,Afternoon,56.49,61.39
52,Australia,Spotify,Country,262,119,Ed Sheeran,Free,Morning,49.19,74.01
46,Brazil,Tidal,Metal,55,244,Post Malone,Premium,Morning,61.59,66.48
51,Australia,Spotify,Reggae,89,156,Taylor Swift,Premium,Morning,74.25,25.44
53,Germany,Tidal,Jazz,221,486,Drake,Free,Afternoon,36.45,13.49
13,France,Deezer,Rock,281,333,Drake,Free,Morning,44.52,14.54
18,Canada,Amazon Music,Metal,541,255,Billie Eilish,Premium,Night,81.37,67.79
21,UK,Amazon Music,Metal,510,4,Adele,Premium,Morning,15.33,32.26
35,USA,Apple Music,EDM,41,366,Post Malone,Premium,Afternoon,17.47,9.5
25,Japan,Spotify,Classical,342,116,BTS,Free,Afternoon,58.63,58.85
25,UK,YouTube,Jazz,596,473,Ed Sheeran,Free,Night,85.55,60.97
14,Germany,Amazon Music,EDM,475,348,Ed Sheeran,Free,Morning,76.34,30.77
32,Germany,Spotify,Classical,307,440,Bad Bunny,Premium,Afternoon,77.64,72.9
36,Canada,Amazon Music,Metal,268,319,Dua Lipa,Premium,Night,51.74,63.97
52,USA,Apple Music,Hip-Hop,581,436,Post Malone,Premium,Afternoon,74.68,24.09
32,Brazil,Tidal,Country,379,88,Post Malone,Free,Morning,35.86,20.42
33,South Korea,Tidal,Country,406,231,Post Malone,Free,Morning,14.83,40.63
50,Australia,Tidal,EDM,391,15,The Weeknd,Free,Night,80.77,31.75
59,South Korea,YouTube,Pop,330,308,Dua Lipa,Premium,Night,40.52,18.91
16,Australia,YouTube,Rock,500,350,Adele,Premium,Morning,87.02,18.68
14,France,YouTube,Hip-Hop,557,82,BTS,Free,Morning,80.65,13.91
15,France,Tidal,R&B,139,149,Adele,Premium,Night,10.81,7.14
42,USA,YouTube,Metal,21,495,The Weeknd,Free,Morning,75.46,42.0
21,South Korea,YouTube,Jazz,348,465,Dua Lipa,Premium,Afternoon,21.53,13.43
48,Germany,Spotify,Hip-Hop,472,220,Adele,Premium,Night,57.65,39.07
47,France,Amazon Music,Rock,350,38,Bad Bunny,Premium,Morning,80.57,34.99
34,USA,Amazon Music,Hip-Hop,541,103,Taylor Swift,Free,Afternoon,46.38,15.3
47,India,Spotify,Jazz,68,236,BTS,Free,Afternoon,38.04,78.69
30,Brazil,Spotify,Jazz,501,383,The Weeknd,Premium,Afternoon,25.56,27.23
60,UK,Tidal,R&B,30,157,The Weeknd,Free,Morning,80.49,38.07
41,India,Apple Music,Jazz,137,83,Ed Sheeran,Premium,Afternoon,20.01,68.57
37,Canada,Amazon Music,Jazz,227,1,Bad Bunny,Premium,Afternoon,34.48,51.52
32,India,Deezer,Jazz,133,274,Ed Sheeran,Premium,Morning,50.67,40.36
38,Australia,Apple Music,R&B,429,114,BTS,Premium,Morning,81.56,13.28
30,France,Tidal,Metal,418,24,Taylor Swift,Free,Night,63.3,69.61
24,South Korea,Amazon Music,Rock,305,447,BTS,Premium,Morning,67.94,64.35
60,Canada,Apple Music,Pop,528,213,Taylor Swift,Free,Morning,50.27,20.88
48,Japan,Deezer,R&B,441,348,The Weeknd,Premium,Morning,12.8,9.66
51,Australia,YouTube,Jazz,580,267,Taylor Swift,Premium,Morning,60.06,11.08
54,Australia,Amazon Music,Pop,117,141,Dua Lipa,Free,Night,73.63,55.62
51,India,Apple Music,Pop,488,388,Dua Lipa,Premium,Afternoon,25.51,15.81
27,South Korea,Tidal,Pop,369,348,Bad Bunny,Free,Morning,88.99,7.06
51,UK,Tidal,Classical,582,92,Billie Eilish,Premium,Night,74.71,8.4
17,Brazil,Deezer,Jazz,150,95,Adele,Premium,Morning,70.85,10.06
18,Brazil,Amazon Music,Metal,438,357,Adele,Free,Morning,38.01,42.02
25,Japan,Amazon Music,Jazz,412,431,Billie Eilish,Free,Afternoon,51.39,22.85
24,USA,Apple Music,Pop,567,275,Dua Lipa,Free,Afternoon,12.88,24.33
44,Canada,Apple Music,Pop,357,362,Dua Lipa,Free,Morning,86.95,39.38
47,India,Spotify,Rock,43,231,Post Malone,Free,Morning,71.28,37.91
21,France,Spotify,EDM,355,66,Dua Lipa,Premium,Morning,43.39,10.42
47,Canada,Spotify,Pop,506,457,BTS,Free,Night,55.89,64.66
28,South Korea,Apple Music,Jazz,352,269,Ed Sheeran,Free,Night,34.82,18.85
50,India,YouTube,Rock,497,430,Bad Bunny,Premium,Morning,31.38,57.08
48,Japan,Deezer,Pop,266,70,Taylor Swift,Premium,Afternoon,78.36,30.24
57,Brazil,Deezer,Jazz,578,381,Dua Lipa,Free,Afternoon,81.41,25.0
60,Australia,Deezer,R&B,587,294,BTS,Premium,Morning,34.29,10.04
43,Canada,Tidal,Rock,440,423,Dua Lipa,Free,Night,43.33,72.36
38,South Korea,Tidal,EDM,279,304,Billie Eilish,Free,Morning,88.29,12.67
50,Germany,Deezer,Hip-Hop,340,153,BTS,Free,Morning,51.6,70.77
22,UK,Deezer,Rock,440,294,BTS,Free,Morning,14.01,24.36
16,Japan,YouTube,Rock,217,60,BTS,Premium,Afternoon,63.14,6.5
32,Germany,YouTube,Country,471,293,Dua Lipa,Premium,Morning,12.42,40.53
24,India,Amazon Music,Classical,183,333,Bad Bunny,Free,Morning,35.34,68.08
49,Brazil,Amazon Music,Reggae,484,269,Drake,Free,Morning,77.92,59.63
30,Canada,Deezer,Rock,381,438,Taylor Swift,Premium,Morning,46.84,42.68
59,India,Tidal,Hip-Hop,579,222,The Weeknd,Free,Night,21.62,22.92
59,Canada,YouTube,EDM,98,333,Dua Lipa,Premium,Night,75.45,76.2
25,Brazil,Amazon Music,EDM,192,360,The Weeknd,Free,Night,17.42,18.75
39,Brazil,Deezer,Jazz,247,119,Bad Bunny,Premium,Afternoon,29.76,17.88
33,Australia,Spotify,Country,72,419,Ed Sheeran,Premium,Morning,25.97,10.35
32,Japan,Deezer,EDM,408,3,BTS,Premium,Afternoon,66.6,60.68
33,UK,Amazon Music,EDM,423,476,Bad Bunny,Premium,Afternoon,82.53,72.74
33,South Korea,Amazon Music,Reggae,193,454,Dua Lipa,Free,Afternoon,13.37,69.69
56,France,Spotify,Jazz,302,393,Drake,Free,Morning,34.43,75.56
24,USA,Spotify,EDM,223,46,The Weeknd,Premium,Morning,41.12,48.25
30,Japan,Amazon Music,Reggae,345,50,Adele,Free,Afternoon,36.11,56.92
32,Germany,Apple Music,EDM,356,269,The Weeknd,Free,Afternoon,38.4,65.77
22,Brazil,Deezer,Metal,201,396,Drake,Premium,Afternoon,11.16,7.31
14,Australia,Tidal,Hip-Hop,374,296,Post Malone,Premium,Morning,62.98,29.38
49,Japan,Spotify,Rock,125,305,Drake,Premium,Morning,62.41,68.1
48,UK,Amazon Music,EDM,107,365,Ed Sheeran,Premium,Morning,39.7,71.0
48,South Korea,Deezer,Reggae,74,343,Bad Bunny,Free,Morning,71.19,64.81
14,France,YouTube,Metal,568,401,Taylor Swift,Premium,Night,86.76,38.0
20,Australia,Apple Music,R&B,570,398,Post Malone,Premium,Afternoon,42.1,15.41
46,USA,Spotify,Metal,487,37,Taylor Swift,Free,Afternoon,55.13,5.2
43,France,Amazon Music,Jazz,108,60,Adele,Premium,Morning,79.73,58.09
50,Japan,Deezer,Hip-Hop,31,486,Post Malone,Premium,Morning,37.12,32.09
36,Canada,Spotify,Hip-Hop,395,74,Ed Sheeran,Free,Morning,70.74,77.59
59,UK,Apple Music,Rock,443,290,Taylor Swift,Free,Night,79.16,15.98
15,Canada,YouTube,Jazz,495,387,Ed Sheeran,Premium,Afternoon,32.89,72.22
60,Australia,YouTube,Hip-Hop,585,226,The Weeknd,Free,Afternoon,25.73,67.02
29,Germany,Tidal,EDM,340,410,Taylor Swift,Premium,Night,19.8,16.12
38,France,YouTube,Country,595,285,BTS,Premium,Night,82.04,50.17
16,Germany,Spotify,EDM,544,158,Drake,Free,Morning,67.07,22.22
55,UK,Tidal,Classical,592,390,BTS,Free,Morning,69.93,11.18
37,USA,Deezer,Country,452,266,BTS,Premium,Morning,19.51,68.47
31,Germany,Spotify,Hip-Hop,39,306,Ed Sheeran,Premium,Night,50.54,78.26
24,South Korea,YouTube,Metal,268,161,Bad Bunny,Free,Afternoon,12.8,69.12
13,Australia,YouTube,Hip-Hop,14,221,Adele,Premium,Morning,18.23,71.27
17,South Korea,Spotify,Hip-Hop,348,249,Adele,Free,Morning,50.76,46.84
13,Australia,Amazon Music,Country,27,110,The Weeknd,Free,Afternoon,45.34,68.06
57,Australia,Tidal,Rock,583,6,The Weeknd,Free,Morning,28.32,62.97
51,Germany,Amazon Music,Reggae,27,375,Drake,Premium,Morning,76.25,57.01
33,Japan,YouTube,R&B,504,81,Taylor Swift,Free,Night,87.6,61.56
19,Brazil,Tidal,Reggae,130,217,Adele,Free,Morning,27.0,50.25
42,South Korea,Spotify,Rock,365,196,The Weeknd,Premium,Afternoon,14.44,55.28
26,Brazil,Spotify,Jazz,126,28,Adele,Free,Morning,73.32,55.16
29,Canada,Apple Music,R&B,429,477,Taylor Swift,Free,Night,68.79,25.77
57,Brazil,YouTube,Jazz,548,217,Taylor Swift,Free,Morning,32.38,47.17
14,India,Amazon Music,Hip-Hop,223,372,Adele,Free,Afternoon,73.53,55.36
35,Canada,YouTube,Country,230,322,Taylor Swift,Free,Night,12.43,67.46
15,USA,Amazon Music,Reggae,379,466,Post Malone,Premium,Night,10.67,13.93
37,USA,Apple Music,Reggae,113,360,Bad Bunny,Free,Night,87.61,61.65
22,France,YouTube,Hip-Hop,211,223,Billie Eilish,Free,Night,68.18,33.78
42,Germany,Apple Music,Country,192,448,The Weeknd,Premium,Morning,65.0,11.22
53,France,Apple Music,Reggae,198,135,The Weeknd,Premium,Morning,47.72,36.67
44,USA,Spotify,Reggae,182,162,The Weeknd,Premium,Afternoon,85.26,49.55
56,India,Amazon Music,R&B,424,229,The Weeknd,Premium,Morning,57.22,77.23
52,UK,Deezer,Classical,279,462,Adele,Free,Afternoon,20.04,17.3
19,Japan,Spotify,Hip-Hop,214,411,Ed Sheeran,Free,Afternoon,70.69,10.98
49,Germany,Apple Music,Pop,429,376,Bad Bunny,Free,Afternoon,49.5,42.46
13,USA,Apple Music,Rock,72,38,Billie Eilish,Premium,Night,24.22,78.51
38,South Korea,Spotify,Pop,387,84,Post Malone,Premium,Morning,59.36,24.08
19,India,Tidal,Reggae,84,486,Drake,Premium,Afternoon,67.75,10.22
56,Germany,Spotify,Metal,199,361,Adele,Premium,Morning,75.94,16.59
17,Germany,Deezer,R&B,476,372,Adele,Free,Afternoon,21.26,5.36
34,Canada,YouTube,EDM,354,473,Ed Sheeran,Free,Morning,68.47,57.52
48,Germany,Tidal,Jazz,592,403,Bad Bunny,Free,Afternoon,71.06,62.24
19,India,Apple Music,Jazz,482,110,Dua Lipa,Premium,Afternoon,62.56,56.51
22,France,Deezer,Hip-Hop,153,478,Drake,Premium,Afternoon,43.22,34.77
48,Canada,Tidal,Pop,303,320,Adele,Premium,Night,26.71,9.82
26,Australia,Spotify,R&B,213,108,Bad Bunny,Free,Night,60.3,45.68
53,France,YouTube,Hip-Hop,404,205,Dua Lipa,Premium,Afternoon,56.27,68.99
33,Japan,Deezer,Hip-Hop,377,261,Bad Bunny,Free,Afternoon,67.03,76.49
60,Brazil,Apple Music,Pop,36,309,Drake,Premium,Night,58.01,43.46
56,Australia,Tidal,Classical,203,3,Post Malone,Premium,Night,39.42,63.46
48,France,YouTube,EDM,224,370,Drake,Free,Morning,88.63,26.57
49,Japan,Apple Music,Rock,382,71,Bad Bunny,Premium,Morning,59.59,25.97
53,Japan,Apple Music,Rock,94,322,Post Malone,Premium,Morning,87.74,16.74
44,Canada,Deezer,R&B,22,83,Drake,Premium,Afternoon,48.92,45.6
31,Germany,Spotify,Jazz,414,267,Post Malone,Free,Afternoon,57.32,72.28
13,USA,Deezer,Metal,164,436,Taylor Swift,Free,Night,48.82,68.49
42,India,Tidal,Rock,418,95,The Weeknd,Free,Night,82.42,79.25
53,Australia,Deezer,Rock,465,426,Ed Sheeran,Premium,Morning,33.74,10.19
56,Japan,Tidal,Pop,339,271,Ed Sheeran,Premium,Morning,60.96,70.07
59,France,YouTube,Hip-Hop,116,461,Taylor Swift,Free,Morning,64.18,56.89
15,Canada,Spotify,Pop,254,482,The Weeknd,Premium,Night,84.58,21.6
29,South Korea,Tidal,Metal,159,469,Drake,Premium,Morning,75.33,30.02
34,UK,Spotify,Jazz,194,339,BTS,Free,Night,89.01,23.28
29,South Korea,Tidal,EDM,363,186,Billie Eilish,Free,Night,81.18,51.67
54,India,YouTube,Rock,294,296,Taylor Swift,Free,Night,78.2,36.68
25,India,Apple Music,Reggae,108,447,Billie Eilish,Premium,Morning,15.79,26.9
42,India,Apple Music,Hip-Hop,299,245,Taylor Swift,Premium,Afternoon,44.42,72.68
28,Germany,Amazon Music,Reggae,336,14,Ed Sheeran,Premium,Night,52.53,65.49
50,USA,Amazon Music,Metal,73,488,Bad Bunny,Free,Morning,15.08,27.2
14,Brazil,Deezer,Reggae,494,86,Bad Bunny,Premium,Night,75.63,26.32
26,Canada,Deezer,Reggae,489,166,The Weeknd,Premium,Night,87.39,45.01
14,France,Tidal,Classical,446,148,Adele,Free,Night,27.43,79.29
